Text,Label
Who was the first president of the United States?,History
What is a metaphor?,Literature
Define the function of mitochondria,Biology
What is a metaphor?,Literature
Explain the process of cell division,Biology
Where is the Sahara Desert located?,Geography
Define the function of mitochondria,Biology
What is the difference between Java and JavaScript?,Programming
How do you calculate the mean of a dataset?,Math
How do you declare a variable in C#?,Programming
Define the term 'protagonist',Literature
Define the Pythagorean theorem,Math
Describe the climate of the Amazon rainforest,Geography
Explain the concept of recursion,Programming
What happened during the French Revolution?,History
What is the theme of '1984' by George Orwell?,Literature
Define the function of mitochondria,Biology
What is the derivative of x squared?,Math
What is photosynthesis?,Biology
How do you write a for loop in Python?,Programming
Who wrote 'Romeo and Juliet'?,Literature
Define the term 'protagonist',Literature
Explain the concept of recursion,Programming
Define the term 'protagonist',Literature
Where is the Sahara Desert located?,Geography
What is the capital of France?,Geography
What is the area of a circle?,Math
What is the area of a circle?,Math
Explain the process of cell division,Biology
Who was the first president of the United States?,History
How do you calculate the mean of a dataset?,Math
How do you declare a variable in C#?,Programming
Summarize the plot of 'Moby Dick',Literature
What is a class in object-oriented programming?,Programming
What is DNA made of?,Biology
Summarize the plot of 'Moby Dick',Literature
Define the function of mitochondria,Biology
How do you calculate the mean of a dataset?,Math
What is a metaphor?,Literature
What is the role of enzymes in digestion?,Biology
Define the term 'protagonist',Literature
How do you write a for loop in Python?,Programming
What is the role of enzymes in digestion?,Biology
Describe the fall of the Roman Empire,History
What is the area of a circle?,Math
What is the capital of France?,Geography
Name the longest river in the world,Geography
How do you write a for loop in Python?,Programming
When did the Cold War begin?,History
Who wrote 'Romeo and Juliet'?,Literature
Explain the causes of World War I,History
Define the term 'protagonist',Literature
Name the longest river in the world,Geography
What happened during the French Revolution?,History
What happened during the French Revolution?,History
What is photosynthesis?,Biology
What is the area of a circle?,Math
What is the role of enzymes in digestion?,Biology
Who was the first president of the United States?,History
What is the theme of '1984' by George Orwell?,Literature
What is the theme of '1984' by George Orwell?,Literature
When did the Cold War begin?,History
Define the Pythagorean theorem,Math
What is the theme of '1984' by George Orwell?,Literature
What is the derivative of x squared?,Math
What is the difference between Java and JavaScript?,Programming
What is the area of a circle?,Math
What is a class in object-oriented programming?,Programming
Explain the concept of recursion,Programming
Describe the climate of the Amazon rainforest,Geography
What is a metaphor?,Literature
Name the longest river in the world,Geography
Define the term 'protagonist',Literature
How do you write a for loop in Python?,Programming
What is the capital of France?,Geography
What is the derivative of x squared?,Math
How do you calculate the mean of a dataset?,Math
Summarize the plot of 'Moby Dick',Literature
Define the Pythagorean theorem,Math
Define the Pythagorean theorem,Math
Summarize the plot of 'Moby Dick',Literature
Where is the Sahara Desert located?,Geography
What is photosynthesis?,Biology
How do you declare a variable in C#?,Programming
Solve the equation 2x + 3 = 7,Math
What is a metaphor?,Literature
Where is the Sahara Desert located?,Geography
What is photosynthesis?,Biology
Explain the concept of recursion,Programming
Who wrote 'Romeo and Juliet'?,Literature
What is the role of enzymes in digestion?,Biology
What are tectonic plates?,Geography
What are tectonic plates?,Geography
Describe the fall of the Roman Empire,History
Where is the Sahara Desert located?,Geography
What happened during the French Revolution?,History
How do you declare a variable in C#?,Programming
How do you calculate the mean of a dataset?,Math
Explain the process of cell division,Biology
Describe the climate of the Amazon rainforest,Geography
Define the term 'protagonist',Literature
What is the area of a circle?,Math
Define the Pythagorean theorem,Math
Describe the climate of the Amazon rainforest,Geography
Define the Pythagorean theorem,Math
Define the term 'protagonist',Literature
When did the Cold War begin?,History
Where is the Sahara Desert located?,Geography
Who was the first president of the United States?,History
Describe the fall of the Roman Empire,History
Describe the fall of the Roman Empire,History
What is a class in object-oriented programming?,Programming
What is the role of enzymes in digestion?,Biology
Name the longest river in the world,Geography
Describe the climate of the Amazon rainforest,Geography
Name the longest river in the world,Geography
What is DNA made of?,Biology
Define the function of mitochondria,Biology
Explain the causes of World War I,History
What are tectonic plates?,Geography
What is DNA made of?,Biology
Name the longest river in the world,Geography
What is DNA made of?,Biology
Define the term 'protagonist',Literature
Name the longest river in the world,Geography
